n,n_patent,link1,date,title,link2,publication,authors,main_lab
47.0,2715898(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2715898&TypeFile=html,12.03.2018,ГАЗОНАПОЛНЕННЫЙ ДЕТЕКТОР ДЛЯ ИЗМЕРЕНИЯ МАЛОУГЛОВОГО РАССЕЯНИЯ ТЕПЛОВЫХ НЕЙТРОНОВ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/715/898/%D0%98%D0%97-02715898-00001/document.pdf,04.03.2020 БИПМ №7,"Богдзель А.А., Милков В.М., Пантелеев Ц.Ц.",Лаборатория нейтронной физики им. И.М. Франка
48.0,2714507(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2714507&TypeFile=html,04.02.2019,СПОСОБ ФОРМИРОВАНИЯ РАВНОВЕСНЫХ ТРАЕКТОРИЙ ЧАСТИЦ В ЦИКЛИЧЕСКОМ УСКОРИТЕЛЕ С ПОСТОЯННЫМ РАДИУСОМ ОРБИТЫ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/714/507/%D0%98%D0%97-02714507-00001/document.pdf,18.02.2020 БИПМ №5,Долбилов Г.В.,Лаборатория ядерных реакций им. Г.Н. Флерова
49.0,2714505(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2714505&TypeFile=html,11.03.2019,МАГНИТНАЯ СИСТЕМА ИНДУКЦИОННОГО СИНХРОТРОНА С ПОСТОЯННЫМ ВО ВРЕМЕНИ МАГНИТНЫМ ПОЛЕМ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/714/505/%D0%98%D0%97-02714505-00001/document.pdf,18.02.2020 БИПМ №5,Долбилов Г.В.,Лаборатория ядерных реакций им. Г.Н. Флерова
50.0,2702140(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2702140&TypeFile=html,23.01.2019,СВЕРХПРОВОДЯЩИЙ КОМПАКТНЫЙ ИЗОХРОННЫЙ ЦИКЛОТРОН,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/702/140/%D0%98%D0%97-02702140-00001/document.pdf,04.10.2019 БИПМ №28,"Бунятов К.С., Ширков Г.Д., Ширков С.Г., Карамышева Г.А., Карамышев О.В., Малинин В.А., Гурский С.В., Попов Д.В.",Лаборатория ядерных проблем им. В.П. Джелепова
51.0,2699670(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2699670&TypeFile=html,16.11.2018,СПОСОБ ПОВЫШЕНИЯ ЧАСТОТЫ ОБРАЗОВАНИЯ ДВУНИТЕВЫХ РАЗРЫВОВ ДНК В КЛЕТКАХ ЧЕЛОВЕКА ПРИ ДЕЙСТВИИ ИОНИЗИРУЮЩИХ ИЗЛУЧЕНИЙ В УСЛОВИЯХ ВЛИЯНИЯ РАДИОМОДИФИКАТОРОВ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/699/670/%D0%98%D0%97-02699670-00001/document.pdf,09.09.2019 БИПМ №25,"Красавин Е.А., Борейко А.В., Куликова Е.А., Буланова Т.С., Тимошенко Г.Н., Чаусов В.Н.",Лаборатория радиационной биологии
52.0,2698468(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2698468&TypeFile=html,18.06.2018,СПОСОБ МОДЕЛИРОВАНИЯ ХИМИЧЕСКОГО ПОВЕДЕНИЯ АТОМОВ СВЕРХТЯЖЕЛЫХ ЭЛЕМЕНТОВ,https://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/698/468/%D0%98%D0%97-02698468-00001/document.pdf,27.08.2019 БИПМ №24,Доманов В.П.,Лаборатория ядерных проблем им. В.П. Джелепова
53.0,2691770(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2691770&TypeFile=html,25.09.2018,УСТРОЙСТВО ДЛЯ ИССЛЕДОВАНИЯ СТРОУ ТРУБКИ КООРДИНАТНОГО ДЕТЕКТОРА ЧАСТИЦ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/691/770/%D0%98%D0%97-02691770-00001/document.pdf,18.06.2019 БИПМ №17,"Волков А.Д., Кравченко М.Д., Павлов А.В.",Лаборатория физики высоких энергий им. В.И. Векслера и А.М. Балдина
54.0,2685557(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2685557&TypeFile=html,22.05.2018,УСТРОЙСТВО ДЛЯ НАБЛЮДЕНИЯ СОЛНЕЧНОЙ КОРОНЫ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/685/557/%D0%98%D0%97-02685557-00001/document.pdf,22.04.2019 БИПМ №12,Бородин А.Н.,Лаборатория ядерных проблем им. В.П. Джелепова
55.0,2677501(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2677501&TypeFile=html,22.12.2017,СПОСОБ АНАЛИЗА АТОМНОГО СОСТАВА ОРГАНИЧЕСКИХ ВЕЩЕСТВ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/677/501/%D0%98%D0%97-02677501-00001/document.pdf,17.01.2019 БИПМ №2,"Тютюнников С.И., Шаляпин В.Н.",Лаборатория информационных технологий им. М.Г. Мещерякова
56.0,2676757(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2676757&TypeFile=html,12.03.2018,УСТРОЙСТВО ДЛЯ ВЫВОДА ЗАРЯЖЕННЫХ ЧАСТИЦ ИЗ ЦИКЛИЧЕСКОГО УСКОРИТЕЛЯ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/676/757/%D0%98%D0%97-02676757-00001/document.pdf,11.01.2019 БИПМ №2,Долбилов Г.В.,Лаборатория ядерных реакций им. Г.Н. Флерова
57.0,2672039(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2672039&TypeFile=html,27.12.2017,ПЛАНАРНЫЙ ПОЛУПРОВОДНИКОВЫЙ ДЕТЕКТОР,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/672/039/%D0%98%D0%97-02672039-00001/document.pdf,08.11.2018 БИПМ №31,"Шелков Г.А., Кожевников Д.А., Смолянский П.И., Котов С.А., Кручонок В.Г., Жемчугов А.С., Лейва Фабело Антонио",Лаборатория ядерных проблем им. В.П. Джелепова
58.0,2669543(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2669543&TypeFile=html,05.06.2017,СПОСОБ ОПРЕДЕЛЕНИЯ ПРОСТРАНСТВЕННЫХ ПРОФИЛЕЙ ЯДЕРНОГО И МАГНИТНОГО ПОТЕНЦИАЛОВ ВЗАИМОДЕЙСТВИЯ ПОЛЯРИЗОВАННЫХ НЕЙТРОНОВ СО СЛОИСТОЙ СТРУКТУРОЙ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/669/543/%D0%98%D0%97-02669543-00001/document.pdf,11.10.2018 БИПМ №29,"Никитенко Ю.В., Жакетов В.Д.",Лаборатория ядерных реакций им. Г.Н. Флерова
59.0,2668546(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2668546&TypeFile=html,15.11.2016,СПОСОБ ИЗМЕНЕНИЯ РЕАКТИВНОСТИ В ИМПУЛЬСНЫХ ЯДЕРНЫХ УСТАНОВКАХ ПЕРИОДИЧЕСКОГО ДЕЙСТВИЯ НА БЫСТРЫХ НЕЙТРОНАХ С ПОРОГОВО-ДЕЛЯЩИМИСЯ ИЗОТОПАМИ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/668/546/%D0%98%D0%97-02668546-00001/document.pdf,02.10.2018 БИПМ №28,"Шабалин Е.П., Комышев Г.Г",Лаборатория ядерных проблем им. В.П. Джелепова
60.0,2667595(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2667595&TypeFile=html,03.07.2017,"ЭНЕРГОНЕЗАВИСИМЫЙ ЗАЩИТНЫЙ КЛАПАН ДЛЯ ДРЕЙФОВОЙ КАМЕРЫ, РАБОТАЮЩЕЙ В ВАКУУМЕ",http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/667/595/%D0%98%D0%97-02667595-00001/document.pdf,21.09.2018 БИПМ №27,"Глонти Л., Кекелидзе В.Д., Потребеников Ю.К., Самсонов В.А., Чепурнов В.Ф.",Лаборатория ядерных проблем им. В.П. Джелепова
61.0,2666937(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2666937&TypeFile=html,27.09.2017,СПОСОБ ПРОФИЛАКТИКИ СНИЖЕНИЯ МЫШЕЧНОЙ СИЛЫ ПРИ ОСТРОЙ ЛУЧЕВОЙ БОЛЕЗНИ В ЭКСПЕРИМЕНТЕ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/666/937/%D0%98%D0%97-02666937-00001/document.pdf,13.09.2018 БИПМ №26,"Иванов А.А., Красавин Е.А., Ляхова К.Н., Северюхин Ю.С., Молоканов А.Г.",Лаборатория радиационной биологии
62.0,2659572(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2659572&TypeFile=html,18.07.2017,СПОСОБ МЕДЛЕННОГО ВЫВОДА ПУЧКА ЗАРЯЖЕННЫХ ЧАСТИЦ ИЗ ЦИКЛИЧЕСКОГО УСКОРИТЕЛЯ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/659/572/%D0%98%D0%97-02659572-00001/document.pdf,03.07.2018 БИПМ №19,Долбилов Г.В.,Лаборатория ядерных реакций им. Г.Н. Флерова
63.0,2659717(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2659717&TypeFile=html,22.12.2016,ПОЛУПРОВОДНИКОВЫЙ ПИКСЕЛЬНЫЙ ДЕТЕКТОР ЗАРЯЖЕННЫХ СИЛЬНО ИОНИЗИРУЮЩИХ ЧАСТИЦ (МНОГОЗАРЯДНЫХ ИОНОВ),http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/659/717/%D0%98%D0%97-02659717-00001/document.pdf,22.06.2018 БИПМ №18,"Шелков Г.А., Кожевников Д.А., Смолянский П.И., Демичев М.А., Котов С.А., Кручонок В.Г., Жемчугов А.С., Абдельшакур Эль Саид Мохаммед Абу Эльазм",Лаборатория ядерных реакций им. Г.Н. Флерова
64.0,2653186(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2653186&TypeFile=html,03.04.2017,СПОСОБ ОПРЕДЕЛЕНИЯ КОЭФФИЦИЕНТА ПУАССОНА МАТЕРИАЛА ГЕРМЕТИЧНОЙ ТОНКОСТЕННОЙ ПОЛИМЕРНОЙ ТРУБКИ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/653/186/%D0%98%D0%97-02653186-00001/document.pdf,07.05.2018 БИПМ №13,"Волков А.Д., Цамалаидзе З.",Лаборатория ядерных проблем им. В.П. Джелепова
65.0,2650509(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2650509&TypeFile=html,21.12.2016,КРИОГЕННОЕ ФЛАНЦЕВОЕ РАЗЪЁМНОЕ СОЕДИНЕНИЕ ДЛЯ ШАРИКОВОГО ХОЛОДНОГО ЗАМЕДЛИТЕЛЯ НЕЙТРОНОВ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/650/509/%D0%98%D0%97-02650509-00001/document.pdf,16.04.2018 БИПМ №11,"Мухин К.А., Кустов А.А.",Лаборатория ядерных проблем им. В.П. Джелепова
66.0,2647497(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2647497&TypeFile=html,15.06.2016,СПОСОБ МНОГООБОРОТНОЙ ИНЖЕКЦИИ ЗАРЯЖЕННЫХ ЧАСТИЦ В ЦИКЛИЧЕСКИЙ УСКОРИТЕЛЬ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/647/497/%D0%98%D0%97-02647497-00001/document.pdf,16.03.2018 БИПМ №8,Долбилов Г.В.,Лаборатория ядерных реакций им. Г.Н. Флерова
67.0,2641658(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2641658&TypeFile=html,15.06.2016,СПОСОБ МЕДЛЕННОГО ВЫВОДА ПУЧКА ЗАРЯЖЕННЫХ ЧАСТИЦ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/641/658/%D0%98%D0%97-02641658-00001/document.pdf,19.01.2018 БИПМ №2,Долбилов Г.В.,Лаборатория физики высоких энергий им. В.И. Векслера и А.М. Балдина
68.0,2638270(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2638270&TypeFile=html,19.05.2016,СПОСОБ ПРОФИЛАКТИКИ НАРУШЕНИЙ ПСИХОНЕВРОЛОГИЧЕСКОГО СТАТУСА ПРИ ОСТРОЙ ЛУЧЕВОЙ БОЛЕЗНИ В ЭКСПЕРИМЕНТЕ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/638/270/%D0%98%D0%97-02638270-00001/document.pdf,12.12.2017 БИПМ №35,"Иванов А.А., Красавин Е.А., Ляхова К.Н., Северюхин Ю.С., Молоканов А.Г.",Лаборатория радиационной биологии
69.0,2633770(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2633770&TypeFile=html,15.06.2016,СПОСОБ ФОКУСИРОВКИ ПУЧКОВ ЗАРЯЖЕННЫХ ЧАСТИЦ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/633/770/%D0%98%D0%97-02633770-00001/document.pdf,18.10.2017 БИПМ №29,Долбилов Г.В.,Лаборатория физики высоких энергий им. В.И. Векслера и А.М. Балдина
70.0,2633657(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2633657&TypeFile=html,24.02.2016,УСТРОЙСТВО ДЛЯ ЭМИССИОННОГО И МАССОВОГО СПЕКТРАЛЬНОГО АНАЛИЗА ОРГАНИЧЕСКИХ ВЕЩЕСТВ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/633/657/%D0%98%D0%97-02633657-00001/document.pdf,16.10.2017 БИПМ №29,"Шаляпин В.Н., Тютюнников С.И.",Лаборатория информационных технологий им. М.Г. Мещерякова
71.0,2618626(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2618626&TypeFile=html,24.07.2015,СПОСОБ СИНХРОННОГО УСКОРЕНИЯ ЗАРЯЖЕННЫХ ЧАСТИЦ В ПОСТОЯННОМ МАГНИТНОМ ПОЛЕ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/618/626/%D0%98%D0%97-02618626-00001/document.pdf,05.05.2017 БИПМ №13,Долбилов Г.В.,Лаборатория теоретической физики им. Н.Н. Боголюбова
72.0,2617715(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2617715&TypeFile=html,24.07.2015,СПОСОБ ПОЛУЧЕНИЯ РАДИОИЗОТОПОВ СЕРЕБРА БЕЗ НОСИТЕЛЯ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/617/715/%D0%98%D0%97-02617715-00001/document.pdf,26.04.2017 БИПМ №12,"Доманов В.П., Чинь Тхи Тху Ми",Лаборатория ядерных проблем им. В.П. Джелепова
73.0,2608365(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2608365&TypeFile=html,11.08.2015,ИНДУКЦИОННЫЙ СИНХРОТРОН С ПОСТОЯННЫМ МАГНИТНЫМ ПОЛЕМ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/608/365/%D0%98%D0%97-02608365-00001/document.pdf,18.01.2017 БИПМ №2,Долбилов Г.В.,Лаборатория теоретической физики им. Н.Н. Боголюбова
74.0,2602492(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2602492&TypeFile=html,20.08.2014,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ МЕСТОПОЛОЖЕНИЯ ПРОВОЛОК В ГАЗОВЫХ ПРОВОЛОЧНЫХ КАМЕРАХ,http://www1.fips.ru/fips_servl/fips_servlet?DB=RUPAT&rn=2331&DocNumber=2602492TypeFile=html,20.11.2016 БИПМ №32,"Глонти Л.Н., Кекелидзе В.Д., Потребеников Ю.К., Самсонов В.А., Еник Т.Л., Колесников А.О., Мовчан С.А., Сотников А.Н.",Лаборатория ядерных проблем им. В.П. Джелепова
75.0,2601539(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2601539&TypeFile=html,10.08.2015,СПОСОБ НАСТРОЙКИ ВЫСОКОЧАСТОТНОГО РЕЗОНАТОРА НА РЕЗОНАНСНЫЕ ЧАСТОТЫ С ЗАДАННОЙ КРАТНОСТЬЮ,http://new.fips.ru/Archive4/PAT/2016FULL/2016.11.10/DOC/RUNWC1/000/000/002/601/539/DOCUMENT.PDF,10.11.2016 БИПМ №31,Прохоров С.В.,Лаборатория теоретической физики им. Н.Н. Боголюбова
76.0,2593433(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2593433&TypeFile=html,25.05.2015,СПОСОБ И УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ ПРОФИЛЯ НЕЙТРОННОГО ПУЧКА (ПУЧКОВ),http://new.fips.ru/Archive4/PAT/2016FULL/2016.08.10/DOC/RUNWC1/000/000/002/593/433/DOCUMENT.PDF,10.08.2016 БИПМ №22,"Быстрицкий В.М., Слепнёв В.М., Замятин Н.И.",Лаборатория нейтронной физики им. И.М. Франка
77.0,2593431(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2593431&TypeFile=html,05.05.2015,СПОСОБ ИЗМЕРЕНИЯ СПЕКТРА ПЕРЕДАННОГО ИМПУЛЬСА НЕЙТРОНОВ,http://new.fips.ru/Archive4/PAT/2016FULL/2016.08.10/DOC/RUNWC1/000/000/002/593/431/DOCUMENT.PDF,10.08.2016 БИПМ №22,Никитенко Ю.В.,Лаборатория ядерных проблем им. В.П. Джелепова
78.0,2577804(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2577804&TypeFile=html,04.12.2014,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ УГЛА НАКЛОНА ПЛОСКОСТИ,http://new.fips.ru/Archive4/PAT/2016FULL/2016.03.20/DOC/RUNWC1/000/000/002/577/804/DOCUMENT.PDF,20.03.2016 БИПМ № 8,Волков А.Д.,Лаборатория ядерных проблем им. В.П. Джелепова
79.0,2571619(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2571619&TypeFile=html,29.04.2014,АНАЛИЗАТОР СОСТАВА ВЕЩЕСТВА,http://new.fips.ru/Archive/PAT/2015FULL/2015.12.20/DOC/RUNWC2/000/000/002/571/619/DOCUMENT.PDF,20.12.2015 БИПМ №35,"Шаляпин В.Н., Тютюнников С.И.",Лаборатория нейтронной физики им. И.М. Франка
80.0,2542300(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2542300&TypeFile=html,24.09.2013,СПОСОБ ИЗГОТОВЛЕНИЯ МОНО- И ОЛИГОПОРОВЫХ МЕМБРАН,http://new.fips.ru/Archive/PAT/2015FULL/2015.02.20/DOC/RUNWC1/000/000/002/542/300/DOCUMENT.PDF,20.02.2015 БИПМ №5,"Апель П.Ю., Дмитриев С.Н., Иванов О.М., Нечаев А.Н.",Лаборатория ядерных реакций им. Г.Н. Флерова
81.0,2540978(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2540978&TypeFile=html,12.07.2013,СПОСОБ ИЗГОТОВЛЕНИЯ ПЕРЕХОДНИКА ДЛЯ СОЕДИНЕНИЯ РЕЗОНАТОРА С КОЖУХОМ   КРИОМОДУЛЯ КОЛЛАЙДЕРА,http://new.fips.ru/Archive/PAT/2015FULL/2015.02.10/DOC/RUNWC1/000/000/002/540/978/DOCUMENT.PDF,10.02.2015 БИПМ №4,"Сабиров Б.М., Ширков Г.Д., Будагов Ю.А., Трубников Г.В.,Пекарь Е.Д., Добрушин Л.Д., Илларионов С.Ю., Брызгалин А.Г.",Лаборатория ядерных реакций им. Г.Н. Флерова
82.0,2539107(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2539107&TypeFile=html,09.07.2013,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ ВЕЛИЧИНЫ НАТЯЖЕНИЯ ТРУБКИ В STRАW-ДЕТЕКТОРАХ,http://new.fips.ru/Archive/PAT/2015FULL/2015.01.10/DOC/RUNWC1/000/000/002/539/107/DOCUMENT.PDF,10.01.2015 БИПМ № 1,Волков А.Д.,Лаборатория ядерных проблем им. В.П. Джелепова
83.0,2510488(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2510488&TypeFile=html,30.05.2012,УСТРОЙСТВО ДЛЯ ИЗМЕРЕНИЯ УГЛА НАКЛОНА,http://new.fips.ru/Archive/PAT/2014FULL/2014.03.27/DOC/RUNWC2/000/000/002/510/488/DOCUMENT.PDF,27.03.2014 БИПМ №9,"Будагов Ю.А., Ляблин М.В.",Лаборатория ядерных проблем им. В.П. Джелепова
84.0,2496165(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2496165&TypeFile=html,21.02.2012,КРИОГЕННЫЙ ДОЗАТОР ШАРИКОВ ДЛЯ ХОЛОДНОГО ЗАМЕДЛИТЕЛЯ НЕЙТРОНОВ,http://new.fips.ru/Archive/PAT/2013FULL/2013.10.20/DOC/RUNWC1/000/000/002/496/165/DOCUMENT.PDF,20.10.2013 БИПМ №29,"Куликов С.А., Федоров А.Н., Шабалин Е.П.",Лаборатория ядерных проблем им. В.П. Джелепова
85.0,2492538(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2492538&TypeFile=html,29.02.2012,ШАРИКОВЫЙ ХОЛОДНЫЙ ЗАМЕДЛИТЕЛЬ НЕЙТРОНОВ,http://new.fips.ru/Archive/PAT/2013FULL/2013.09.10/DOC/RUNWC1/000/000/002/492/538/DOCUMENT.PDF,10.09.2013 БИПМ №25,"Ананьев В.Д., Беляков А.А., Булавин М.В., Верхоглядов А.Е., Куликов С.А., Кустов А.А., Мухин К.А., Шабалин Е.П., Шабалин Д.Е. ;",Лаборатория ядерных проблем им. В.П. Джелепова
