n,n_patent,link1,date,title,link2,publication,authors,main_lab
19.0,2798227(RU),https://www.fips.ru/cdfi/fips.dll/ru?ty=29&docid=2798227,07.11.2022,ТЕЛЛУРСОДЕРЖАЩИЙ ЖИДКИЙ СЦИНТИЛЛЯТОР,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/798/227/%D0%98%D0%97-02798227-00001/document.pdf,19.06.2023 БИПМ №17,"Немченок И.Б., Суслов И.А., Быстряков А.Д",Лаборатория ядерных проблем им. В.П. Джелепова
20.0,2797497(RU),https://www.fips.ru/cdfi/fips.dll/ru?ty=29&docid=2797497,15.11.2022,ПОЗИЦИОННО-ЧУВСТВИТЕЛЬНЫЙ ГАЗОВЫЙ ДЕТЕКТОР ТЕПЛОВЫХ И ХОЛОДНЫХ НЕЙТРОНОВ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/797/497/%D0%98%D0%97-02797497-00001/document.pdf,06.06.2023 БИПМ №16,"Колесников А.Г., Залиханов Б.Ж., Боднарчук В.И., Крюков Ю А",Лаборатория ядерных проблем им. В.П. Джелепова
21.0,2793964(RU),https://www.fips.ru/cdfi/fips.dll/ru?ty=29&docid=2793964,11.04.2022,УСТРОЙСТВО ДЛЯ ДЕТЕКТИРОВАНИЯ ТВЕРДЫХ ФРАГМЕНТОВ СФЕРИЧЕСКОЙ ФОРМЫ ШАРИКОВОГО ХОЛОДНОГО ЗАМЕДЛИТЕЛЯ НЕЙТРОНОВ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/793/964/%D0%98%D0%97-02793964-00001/document.pdf,11.04.2023 БИМП №11,"Галушко А.В., Булавин М.В., Ыскаков Алмас, Мухин К.А., Скуратов В.А., Смелянский И.А.",Лаборатория ядерных проблем им. В.П. Джелепова
22.0,2792202(RU),https://www.fips.ru/cdfi/fips.dll/ru?ty=29&docid=2792202,12.07.2022,УСТРОЙСТВО ДЛЯ ПОЛУЧЕНИЯ УЛЬТРАХОЛОДНЫХ НЕЙТРОНОВ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/792/202/%D0%98%D0%97-02792202-00001/document.pdf,20.03.2023 БИМП №8,Доля С.Н.,Лаборатория ядерных проблем им. В.П. Джелепова
24.0,2787744(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2787744&TypeFile=html,14.09.2021,УСТРОЙСТВО ДЛЯ ПОЛУЧЕНИЯ ХОЛОДНЫХ И УЛЬТРОХОЛОДНЫХ НЕЙТРОНОВ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/787/744/%D0%98%D0%97-02787744-00001/document.pdf,12.01.2023 БИПМ №2,"Доля С.Н., Никитенко Ю.В.",Лаборатория ядерных проблем им. В.П. Джелепова
25.0,2776326(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2776326&TypeFile=html,14.09.2021,СПОСОБ ЭКСПРЕСС- АНАЛИЗА ИНГИБИРОВАНИЯ ЖИВЫХ БЕЛКОВЫХ МОЛЕКУЛ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/776/326/%D0%98%D0%97-02776326-00001/document.pdf,18.07.2022 БИПМ №20,Доля С.Н.,Лаборатория радиационной биологии
26.0,2776157(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2776157&TypeFile=html,14.09.2022,КОМПАКТНЫЙ СВЕРХПРОВОДЯЩИЙ ЦИКЛОТРОН ДЛЯ ПРОТОННОЙ ТЕРАПИИ ПУЧКАМИ СО СВЕРХВЫСОКОЙ МОЩНОСТЬЮ ДОЗЫ (ФЛЕШ),http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/776/157/%D0%98%D0%97-02776157-00001/document.pdf,14.07.2022 БИПМ №20,"Карамышев О.В., Карамышева Г.А., Ляпин И.Д., Малинин В.А., Попов Д.В., Трубников Г.В., Ширков Г.Д., Ширков С.Г.",Лаборатория радиационной биологии
27.0,2776102(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2776102&TypeFile=html,29.03.2021,СПОСОБ ПОЗИЦИОНИРОВАНИЯ СЦИНТИЛЛЯЦИОННЫХ ЯЧЕЕК В СЕГМЕНТИРОВАННЫХ ДЕТЕКТОРАХ И УСТРОЙСТВО ДЛЯ ЕГО ОСУЩЕСТВЛЕНИЯ,http://www1.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/776/102/%D0%98%D0%97-02776102-00001/document.pdf,13.07.2022 БИПМ №20,"Афанасьев С.В., Голунов  А.О., Горбунов Н.В., Ершов Ю.В.",Лаборатория ядерных проблем им. В.П. Джелепова
28.0,2772969(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2772969&TypeFile=html,28.06.2021,НАКОПИТЕЛЬ ХОЛОДНЫХ НЕЙТРОНОВ,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/772/969/%D0%98%D0%97-02772969-00001/document.pdf,30.05.2022 БИПМ №16,Никитенко Ю.В.,Лаборатория ядерных проблем им. В.П. Джелепова
29.0,2770864(RU),https://www.fips.ru/registers-doc-view/fips_servlet?DB=RUPAT&DocNumber=2770864&TypeFile=html,14.09.2021,УСТРОЙСТВО ДЛЯ РЕЗОНАНСНОГО ЗАРЯДА КОНДЕНСАТОРА,https://www.fips.ru/ofpstorage/Doc/IZPM/RUNWC1/000/000/002/770/864/%D0%98%D0%97-02770864-00001/document.pdf,22.04.2022 БИМП №12,"Доля С.Н., Смирнов В.И.",Лаборатория ядерных проблем им. В.П. Джелепова
